PC,CC32=4 (SC-8850 Drum Kit),CC32=3 (SC-88Pro Drum Kit),CC32=2 (SC-88 Drum Kit),CC32=1 (SC-55 Drum Kit)
0,STANDARD 1,STANDARD 1,STANDARD 1,STANDARD
1,STANDARD 2,STANDARD 2,STANDARD 2,
2,STANDARD L/R,STANDARD 3,,
8,ROOM,ROOM,ROOM,ROOM
9,HIP HOP,HIP HOP,,
10,JUNGLE,JUNGLE,,
11,TECHNO,TECHNO,,
12,ROOM L/R,,,
13,HOUSE,,,
16,POWER,POWER,POWER,POWER
24,ELECTRONIC,ELECTRONIC,ELECTRONIC,ELECTRONIC
25,TR-808,TR-808,TR-808/909,TR-808
26,DANCE,DANCE,DANCE,
27,CR-78,CR-78,,
28,TR-606,TR-606,,
29,TR-707,TR-707,,
30,TR-909,TR-909,,
32,JAZZ,JAZZ,JAZZ,JAZZ
33,JAZZ L/R,,,
40,BRUSH,BRUSH,BRUSH,BRUSH
41,BRUSH 2,,,
42,BRUSH 2 L/R,,,
48,ORCHESTRA,ORCHESTRA,ORCHESTRA,ORCHESTRA
49,ETHNIC,ETHNIC,ETHNIC,
50,KICK & SNARE,KICK & SNARE,KICK & SNARE,
51,KICK & SNARE 2,,,
52,ASIA,ASIA,,
53,CYMBAL&CLAPS,CYMBAL&CLAPS,,
54,GAMELAN 1,,,
55,GAMELAN 2,,,
56,SFX,SFX,SFX,SFX
57,RHYTHM FX,RHYTHM FX,RHYTHM FX,
58,RHYTHM FX 2,RHYTHM FX 2,,
59,RHYTHM FX 3,,,
60,SFX 2,,,
61,VOICE,,,
62,CYM&CLAPS 2,,,
127,,,,CM-64/32L
